"","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","name","shot","minute"
"2095","Golden State Warriors","11/1/16",2016,2,4,16,"n","Jump Shot","3PT Field Goal",26,"Portland Trail Blazers",184,195,"Klay Thompson","shot no",20
"2096","Golden State Warriors","12/30/16",2016,3,4,28,"y","Jump Shot","3PT Field Goal",25,"Dallas Mavericks",197,164,"Klay Thompson","shot yes",32
"2097","Golden State Warriors","1/18/17",2016,4,10,50,"n","Jump Shot","2PT Field Goal",20,"Oklahoma City Thunder",200,26,"Klay Thompson","shot no",38
"2098","Golden State Warriors","11/1/16",2016,4,6,54,"n","Jump Shot","3PT Field Goal",24,"Portland Trail Blazers",125,210,"Klay Thompson","shot no",42
"2099","Golden State Warriors","11/1/16",2016,2,2,16,"n","Jump Shot","3PT Field Goal",23,"Portland Trail Blazers",230,18,"Klay Thompson","shot no",22
"2100","Golden State Warriors","11/1/16",2016,4,4,47,"n","Jump Shot","3PT Field Goal",25,"Portland Trail Blazers",78,242,"Klay Thompson","shot no",44
"2101","Golden State Warriors","2/25/17",2016,3,7,46,"n","Jump Shot","2PT Field Goal",15,"Brooklyn Nets",-145,61,"Klay Thompson","shot no",29
"2102","Golden State Warriors","2/25/17",2016,1,8,18,"y","Jump Shot","3PT Field Goal",25,"Brooklyn Nets",-142,208,"Klay Thompson","shot yes",4
"2103","Golden State Warriors","2/25/17",2016,1,6,52,"n","Jump Shot","2PT Field Goal",19,"Brooklyn Nets",-150,121,"Klay Thompson","shot no",6
"2104","Golden State Warriors","2/25/17",2016,3,5,9,"n","Jump Shot","3PT Field Goal",26,"Brooklyn Nets",169,198,"Klay Thompson","shot no",31
"2105","Golden State Warriors","2/27/17",2016,2,9,30,"y","Layup Shot","2PT Field Goal",1,"Philadelphia 76ers",-17,-6,"Klay Thompson","shot yes",15
"2106","Golden State Warriors","11/1/16",2016,2,2,39,"n","Layup Shot","2PT Field Goal",1,"Portland Trail Blazers",-12,2,"Klay Thompson","shot no",22
"2107","Golden State Warriors","12/23/16",2016,3,11,46,"n","Layup Shot","2PT Field Goal",1,"Detroit Pistons",10,0,"Klay Thompson","shot no",25
"2108","Golden State Warriors","3/28/17",2016,2,9,42,"y","Layup Shot","2PT Field Goal",1,"Houston Rockets",12,-1,"Klay Thompson","shot yes",15
"2109","Golden State Warriors","2/2/17",2016,1,1,13,"y","Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",24,11,"Klay Thompson","shot yes",11
"2110","Golden State Warriors","3/31/17",2016,3,11,4,"y","Layup Shot","2PT Field Goal",1,"Houston Rockets",12,8,"Klay Thompson","shot yes",25
"2111","Golden State Warriors","12/5/16",2016,3,3,1,"n","Layup Shot","2PT Field Goal",1,"Indiana Pacers",9,16,"Klay Thompson","shot no",33
"2112","Golden State Warriors","11/4/16",2016,2,1,19,"n","Layup Shot","2PT Field Goal",0,"Los Angeles Lakers",-5,1,"Klay Thompson","shot no",23
